timestamp,unix_time,motion_detected,motion_intensity,motion_area,brightness,sensor_type,device_id
2025-12-07T14:58:27.649740,1765119507,1,3.62,7509,154.42,webcam_motion,webcam_001
2025-12-07T14:58:27.721726,1765119507,1,55.91,115934,155.06,webcam_motion,webcam_001
2025-12-07T14:58:27.794405,1765119507,1,8.64,17925,155.19,webcam_motion,webcam_001
2025-12-07T14:58:27.863098,1765119507,1,7.97,16521,155.03,webcam_motion,webcam_001
2025-12-07T14:58:27.929344,1765119507,1,8.32,17244,154.35,webcam_motion,webcam_001
2025-12-07T14:58:28.199911,1765119508,1,14.49,30046,151.38,webcam_motion,webcam_001
2025-12-07T14:58:28.266321,1765119508,1,0.55,1150,151.39,webcam_motion,webcam_001
2025-12-07T14:58:28.334541,1765119508,1,3.8,7879,151.19,webcam_motion,webcam_001
2025-12-07T14:58:28.399850,1765119508,0,0.0,0,151.33,webcam_motion,webcam_001
2025-12-07T14:58:28.467562,1765119508,1,0.3,625,151.44,webcam_motion,webcam_001
2025-12-07T14:58:28.576302,1765119508,1,2.57,5327,151.75,webcam_motion,webcam_001
2025-12-07T14:58:28.638771,1765119508,1,7.55,15653,152.02,webcam_motion,webcam_001
2025-12-07T14:58:28.706149,1765119508,1,15.18,31470,152.45,webcam_motion,webcam_001
2025-12-07T14:58:28.770866,1765119508,1,24.49,50784,152.79,webcam_motion,webcam_001
2025-12-07T14:58:28.836381,1765119508,1,57.15,118498,154.8,webcam_motion,webcam_001
2025-12-07T14:58:28.976877,1765119508,1,100,380099,160.54,webcam_motion,webcam_001
2025-12-07T14:58:29.040694,1765119509,1,75.07,155660,159.2,webcam_motion,webcam_001
2025-12-07T14:58:29.105757,1765119509,1,56.97,118127,159.16,webcam_motion,webcam_001
2025-12-07T14:58:29.169665,1765119509,1,51.52,106830,158.79,webcam_motion,webcam_001
2025-12-07T14:58:29.234292,1765119509,1,44.39,92038,158.11,webcam_motion,webcam_001
2025-12-07T14:58:29.336087,1765119509,1,69.38,143858,156.1,webcam_motion,webcam_001
2025-12-07T14:58:29.401649,1765119509,1,39.78,82485,155.35,webcam_motion,webcam_001
2025-12-07T14:58:29.469179,1765119509,1,31.23,64763,154.12,webcam_motion,webcam_001
2025-12-07T14:58:29.536323,1765119509,1,37.06,76850,152.43,webcam_motion,webcam_001
2025-12-07T14:58:29.604285,1765119509,1,32.31,66999,151.04,webcam_motion,webcam_001
2025-12-07T14:58:29.708593,1765119509,1,17.62,36528,149.46,webcam_motion,webcam_001
2025-12-07T14:58:29.770194,1765119509,1,8.1,16786,148.54,webcam_motion,webcam_001
2025-12-07T14:58:29.840283,1765119509,1,8.14,16883,147.73,webcam_motion,webcam_001
2025-12-07T14:58:29.901031,1765119509,1,28.65,59399,146.56,webcam_motion,webcam_001
2025-12-07T14:58:29.970153,1765119509,1,40.49,83955,145.41,webcam_motion,webcam_001
2025-12-07T14:58:30.073427,1765119510,1,41.71,86483,145.1,webcam_motion,webcam_001
2025-12-07T14:58:30.137069,1765119510,1,22.26,46153,144.75,webcam_motion,webcam_001
2025-12-07T14:58:30.202262,1765119510,1,25.36,52590,144.48,webcam_motion,webcam_001
2025-12-07T14:58:30.270123,1765119510,1,29.61,61403,144.56,webcam_motion,webcam_001
2025-12-07T14:58:30.336477,1765119510,1,51.4,106577,146.06,webcam_motion,webcam_001
2025-12-07T14:58:30.475661,1765119510,1,87.14,180693,144.85,webcam_motion,webcam_001
2025-12-07T14:58:30.540624,1765119510,1,36.97,76664,144.13,webcam_motion,webcam_001
2025-12-07T14:58:30.606238,1765119510,1,18.04,37406,143.85,webcam_motion,webcam_001
2025-12-07T14:58:30.667633,1765119510,1,9.31,19311,143.71,webcam_motion,webcam_001
2025-12-07T14:58:30.734315,1765119510,1,7.16,14837,143.74,webcam_motion,webcam_001
2025-12-07T14:58:30.875899,1765119510,1,18.02,37361,143.45,webcam_motion,webcam_001
2025-12-07T14:58:30.939389,1765119510,1,23.47,48676,143.65,webcam_motion,webcam_001
2025-12-07T14:58:31.005874,1765119511,1,25.42,52711,144.18,webcam_motion,webcam_001
2025-12-07T14:58:31.071959,1765119511,1,22.17,45978,143.68,webcam_motion,webcam_001
2025-12-07T14:58:31.138845,1765119511,1,12.14,25172,143.8,webcam_motion,webcam_001
2025-12-07T14:58:31.242192,1765119511,1,18.67,38715,143.69,webcam_motion,webcam_001
2025-12-07T14:58:31.300971,1765119511,1,16.7,34631,143.52,webcam_motion,webcam_001
2025-12-07T14:58:31.370376,1765119511,1,20.42,42338,143.99,webcam_motion,webcam_001
2025-12-07T14:58:31.436307,1765119511,1,27.0,55980,144.45,webcam_motion,webcam_001
2025-12-07T14:58:31.503228,1765119511,1,49.97,103609,145.83,webcam_motion,webcam_001
2025-12-07T14:58:31.646136,1765119511,1,91.45,189623,144.26,webcam_motion,webcam_001
2025-12-07T14:58:31.709186,1765119511,1,47.37,98235,143.53,webcam_motion,webcam_001
2025-12-07T14:58:31.773079,1765119511,1,14.57,30215,143.39,webcam_motion,webcam_001
2025-12-07T14:58:31.837290,1765119511,1,5.97,12372,143.41,webcam_motion,webcam_001
2025-12-07T14:58:31.906198,1765119511,1,5.0,10370,143.44,webcam_motion,webcam_001
2025-12-07T14:58:32.007778,1765119512,1,15.36,31851,143.28,webcam_motion,webcam_001
2025-12-07T14:58:32.070237,1765119512,1,9.1,18865,143.59,webcam_motion,webcam_001
2025-12-07T14:58:32.136848,1765119512,1,7.08,14676,143.46,webcam_motion,webcam_001
2025-12-07T14:58:32.203345,1765119512,1,9.73,20166,143.56,webcam_motion,webcam_001
2025-12-07T14:58:32.264678,1765119512,0,0.0,0,143.61,webcam_motion,webcam_001
2025-12-07T14:58:32.369586,1765119512,1,4.61,9566,143.64,webcam_motion,webcam_001
2025-12-07T14:58:32.439679,1765119512,1,2.33,4838,143.75,webcam_motion,webcam_001
2025-12-07T14:58:32.506388,1765119512,1,8.72,18078,143.95,webcam_motion,webcam_001
2025-12-07T14:58:32.570706,1765119512,1,21.61,44804,144.72,webcam_motion,webcam_001
2025-12-07T14:58:32.639440,1765119512,1,50.84,105430,145.43,webcam_motion,webcam_001
2025-12-07T14:58:32.778438,1765119512,1,100,247850,146.49,webcam_motion,webcam_001
2025-12-07T14:58:32.841257,1765119512,1,23.06,47808,146.2,webcam_motion,webcam_001
2025-12-07T14:58:32.907956,1765119512,1,10.53,21832,146.15,webcam_motion,webcam_001
2025-12-07T14:58:32.973145,1765119512,1,9.32,19327,146.22,webcam_motion,webcam_001
2025-12-07T14:58:33.037138,1765119513,1,7.14,14797,146.32,webcam_motion,webcam_001
2025-12-07T14:58:33.145388,1765119513,1,21.65,44900,145.9,webcam_motion,webcam_001
2025-12-07T14:58:33.202999,1765119513,1,24.25,50281,145.57,webcam_motion,webcam_001
2025-12-07T14:58:33.266340,1765119513,1,6.65,13798,145.55,webcam_motion,webcam_001
2025-12-07T14:58:33.335437,1765119513,1,15.36,31846,145.4,webcam_motion,webcam_001
2025-12-07T14:58:33.403194,1765119513,1,15.82,32805,145.54,webcam_motion,webcam_001
2025-12-07T14:58:33.505904,1765119513,1,7.39,15334,145.52,webcam_motion,webcam_001
2025-12-07T14:58:33.571454,1765119513,1,8.05,16699,145.58,webcam_motion,webcam_001
2025-12-07T14:58:33.637181,1765119513,1,6.22,12898,145.68,webcam_motion,webcam_001
2025-12-07T14:58:33.705637,1765119513,1,15.31,31736,145.92,webcam_motion,webcam_001
2025-12-07T14:58:33.770183,1765119513,1,41.06,85149,146.8,webcam_motion,webcam_001
2025-12-07T14:58:33.878255,1765119513,1,73.53,152482,147.19,webcam_motion,webcam_001
2025-12-07T14:58:33.934506,1765119513,1,24.16,50108,146.37,webcam_motion,webcam_001
2025-12-07T14:58:34.003287,1765119514,1,10.36,21477,145.97,webcam_motion,webcam_001
2025-12-07T14:58:34.069376,1765119514,1,6.6,13678,145.66,webcam_motion,webcam_001
2025-12-07T14:58:34.136770,1765119514,1,21.89,45385,145.69,webcam_motion,webcam_001
2025-12-07T14:58:34.242248,1765119514,1,34.76,72082,145.17,webcam_motion,webcam_001
2025-12-07T14:58:34.303380,1765119514,1,11.63,24113,145.16,webcam_motion,webcam_001
2025-12-07T14:58:34.369971,1765119514,1,11.23,23296,145.24,webcam_motion,webcam_001
2025-12-07T14:58:34.437103,1765119514,1,9.55,19796,145.26,webcam_motion,webcam_001
2025-12-07T14:58:34.503247,1765119514,1,9.49,19670,144.88,webcam_motion,webcam_001
2025-12-07T14:58:34.713947,1765119514,1,10.02,20785,144.78,webcam_motion,webcam_001
2025-12-07T14:58:34.773871,1765119514,1,49.2,102021,145.05,webcam_motion,webcam_001
2025-12-07T14:58:34.840420,1765119514,1,52.48,108824,145.29,webcam_motion,webcam_001
2025-12-07T14:58:34.906339,1765119514,1,35.11,72796,145.77,webcam_motion,webcam_001
2025-12-07T14:58:34.970937,1765119514,1,17.4,36086,146.05,webcam_motion,webcam_001
2025-12-07T14:58:35.115792,1765119515,1,34.92,72411,145.24,webcam_motion,webcam_001
2025-12-07T14:58:35.173418,1765119515,1,18.28,37907,145.59,webcam_motion,webcam_001
2025-12-07T14:58:35.240932,1765119515,1,22.39,46437,146.31,webcam_motion,webcam_001
2025-12-07T14:58:35.302573,1765119515,1,21.18,43918,146.43,webcam_motion,webcam_001
2025-12-07T14:58:35.372476,1765119515,1,18.5,38351,146.49,webcam_motion,webcam_001
2025-12-07T14:58:35.510260,1765119515,1,50.24,104181,145.91,webcam_motion,webcam_001
2025-12-07T14:58:35.575118,1765119515,1,15.48,32094,146.35,webcam_motion,webcam_001
2025-12-07T14:58:35.642022,1765119515,1,39.34,81576,146.24,webcam_motion,webcam_001
2025-12-07T14:58:35.706441,1765119515,1,47.56,98629,146.33,webcam_motion,webcam_001
2025-12-07T14:58:35.771184,1765119515,1,37.28,77312,145.21,webcam_motion,webcam_001
2025-12-07T14:58:35.879169,1765119515,1,20.23,41948,145.49,webcam_motion,webcam_001
2025-12-07T14:58:35.938568,1765119515,1,17.92,37163,145.24,webcam_motion,webcam_001
2025-12-07T14:58:36.006612,1765119516,1,20.63,42775,144.99,webcam_motion,webcam_001
2025-12-07T14:58:36.072153,1765119516,1,25.9,53707,144.65,webcam_motion,webcam_001
2025-12-07T14:58:36.139881,1765119516,1,23.73,49205,144.21,webcam_motion,webcam_001
2025-12-07T14:58:36.269332,1765119516,1,63.15,130951,142.96,webcam_motion,webcam_001
2025-12-07T14:58:36.335667,1765119516,1,16.73,34684,143.88,webcam_motion,webcam_001
