timestamp,unix_time,motion_detected,motion_intensity,motion_area,brightness,sensor_type,device_id
2025-12-01T14:52:54.144246,1764600774,1,8.56,17745,117.1,webcam_motion,webcam_001
2025-12-01T14:52:54.208647,1764600774,1,48.86,101312,117.41,webcam_motion,webcam_001
2025-12-01T14:52:54.276830,1764600774,1,13.92,28862,117.47,webcam_motion,webcam_001
2025-12-01T14:52:54.346007,1764600774,1,17.01,35266,117.56,webcam_motion,webcam_001
2025-12-01T14:52:54.415213,1764600774,1,19.56,40568,117.62,webcam_motion,webcam_001
2025-12-01T14:52:54.613555,1764600774,1,45.82,95009,116.61,webcam_motion,webcam_001
2025-12-01T14:52:54.686501,1764600774,1,33.34,69126,116.28,webcam_motion,webcam_001
2025-12-01T14:52:54.756464,1764600774,1,32.1,66571,116.23,webcam_motion,webcam_001
2025-12-01T14:52:54.820241,1764600774,1,33.36,69181,116.88,webcam_motion,webcam_001
2025-12-01T14:52:54.885013,1764600774,1,34.16,70828,117.32,webcam_motion,webcam_001
2025-12-01T14:52:55.012964,1764600775,1,57.86,119988,117.89,webcam_motion,webcam_001
2025-12-01T14:52:55.085723,1764600775,1,39.14,81158,118.17,webcam_motion,webcam_001
2025-12-01T14:52:55.155463,1764600775,1,47.43,98344,118.01,webcam_motion,webcam_001
2025-12-01T14:52:55.221846,1764600775,1,48.02,99575,118.04,webcam_motion,webcam_001
2025-12-01T14:52:55.292428,1764600775,1,41.83,86748,118.34,webcam_motion,webcam_001
2025-12-01T14:52:55.398083,1764600775,1,45.81,94987,118.46,webcam_motion,webcam_001
2025-12-01T14:52:55.462065,1764600775,1,28.08,58218,118.09,webcam_motion,webcam_001
2025-12-01T14:52:55.526111,1764600775,1,32.86,68131,117.7,webcam_motion,webcam_001
2025-12-01T14:52:55.590899,1764600775,1,41.82,86718,118.01,webcam_motion,webcam_001
2025-12-01T14:52:55.639251,1764600775,1,38.55,79946,117.76,webcam_motion,webcam_001
2025-12-01T14:52:55.742544,1764600775,1,48.77,101127,117.48,webcam_motion,webcam_001
2025-12-01T14:52:55.810902,1764600775,1,33.91,70317,118.25,webcam_motion,webcam_001
2025-12-01T14:52:55.871822,1764600775,1,27.15,56303,118.8,webcam_motion,webcam_001
2025-12-01T14:52:55.942509,1764600775,1,23.42,48566,118.64,webcam_motion,webcam_001
2025-12-01T14:52:56.012259,1764600776,1,20.92,43383,118.1,webcam_motion,webcam_001
2025-12-01T14:52:56.354081,1764600776,1,41.01,85032,118.17,webcam_motion,webcam_001
2025-12-01T14:52:56.414105,1764600776,1,10.42,21600,117.33,webcam_motion,webcam_001
2025-12-01T14:52:56.480574,1764600776,1,6.05,12540,116.64,webcam_motion,webcam_001
2025-12-01T14:52:56.546687,1764600776,1,9.35,19379,115.94,webcam_motion,webcam_001
2025-12-01T14:52:56.613219,1764600776,1,11.82,24513,115.53,webcam_motion,webcam_001
2025-12-01T14:52:56.716026,1764600776,1,20.72,42969,115.15,webcam_motion,webcam_001
2025-12-01T14:52:56.774764,1764600776,1,17.71,36729,115.07,webcam_motion,webcam_001
2025-12-01T14:52:56.841187,1764600776,1,18.82,39031,115.09,webcam_motion,webcam_001
2025-12-01T14:52:56.912490,1764600776,1,20.88,43292,115.01,webcam_motion,webcam_001
2025-12-01T14:52:56.975955,1764600776,1,28.03,58130,114.6,webcam_motion,webcam_001
2025-12-01T14:52:57.076928,1764600777,1,52.07,107980,113.18,webcam_motion,webcam_001
2025-12-01T14:52:57.143696,1764600777,1,46.67,96771,111.94,webcam_motion,webcam_001
2025-12-01T14:52:57.208997,1764600777,1,49.87,103404,111.5,webcam_motion,webcam_001
2025-12-01T14:52:57.274345,1764600777,1,55.93,115977,111.26,webcam_motion,webcam_001
2025-12-01T14:52:57.337523,1764600777,1,64.3,133323,111.09,webcam_motion,webcam_001
2025-12-01T14:52:57.444037,1764600777,1,80.51,166945,111.04,webcam_motion,webcam_001
2025-12-01T14:52:57.512404,1764600777,1,59.91,124232,111.39,webcam_motion,webcam_001
2025-12-01T14:52:57.578557,1764600777,1,58.88,122093,111.74,webcam_motion,webcam_001
2025-12-01T14:52:57.644130,1764600777,1,51.65,107101,111.56,webcam_motion,webcam_001
2025-12-01T14:52:57.710843,1764600777,1,44.94,93191,111.59,webcam_motion,webcam_001
2025-12-01T14:52:57.812009,1764600777,1,56.13,116387,112.78,webcam_motion,webcam_001
2025-12-01T14:52:57.879124,1764600777,1,42.0,87096,113.51,webcam_motion,webcam_001
2025-12-01T14:52:57.944244,1764600777,1,35.54,73697,113.88,webcam_motion,webcam_001
2025-12-01T14:52:58.002493,1764600778,1,37.05,76817,114.85,webcam_motion,webcam_001
2025-12-01T14:52:58.065102,1764600778,1,44.35,91957,115.75,webcam_motion,webcam_001
2025-12-01T14:52:58.167493,1764600778,1,50.87,105478,117.06,webcam_motion,webcam_001
2025-12-01T14:52:58.233844,1764600778,1,30.43,63101,118.18,webcam_motion,webcam_001
2025-12-01T14:52:58.300415,1764600778,1,20.88,43290,118.39,webcam_motion,webcam_001
2025-12-01T14:52:58.372608,1764600778,1,18.48,38319,118.27,webcam_motion,webcam_001
2025-12-01T14:52:58.438851,1764600778,1,19.62,40681,117.87,webcam_motion,webcam_001
2025-12-01T14:52:58.535186,1764600778,1,19.93,41330,117.27,webcam_motion,webcam_001
2025-12-01T14:52:58.604894,1764600778,1,9.83,20383,117.04,webcam_motion,webcam_001
2025-12-01T14:52:58.670356,1764600778,1,10.27,21297,116.87,webcam_motion,webcam_001
2025-12-01T14:52:58.739404,1764600778,1,8.83,18320,116.95,webcam_motion,webcam_001
2025-12-01T14:52:58.806374,1764600778,1,9.06,18779,117.12,webcam_motion,webcam_001
2025-12-01T14:52:58.904316,1764600778,1,10.48,21732,117.45,webcam_motion,webcam_001
2025-12-01T14:52:58.968346,1764600778,1,5.24,10856,117.59,webcam_motion,webcam_001
2025-12-01T14:52:59.035594,1764600779,1,4.37,9057,117.41,webcam_motion,webcam_001
2025-12-01T14:52:59.106730,1764600779,1,7.34,15213,116.71,webcam_motion,webcam_001
2025-12-01T14:52:59.161546,1764600779,1,7.82,16221,116.11,webcam_motion,webcam_001
2025-12-01T14:52:59.269794,1764600779,1,12.49,25902,115.37,webcam_motion,webcam_001
2025-12-01T14:52:59.340093,1764600779,1,9.65,20013,114.97,webcam_motion,webcam_001
2025-12-01T14:52:59.407237,1764600779,1,9.65,20001,114.73,webcam_motion,webcam_001
2025-12-01T14:52:59.465605,1764600779,1,12.31,25519,114.8,webcam_motion,webcam_001
2025-12-01T14:52:59.527999,1764600779,1,16.5,34221,114.99,webcam_motion,webcam_001
2025-12-01T14:52:59.625555,1764600779,1,28.52,59144,114.53,webcam_motion,webcam_001
